waste_id,source_process_id,source_factory_id,target_process_id,target_factory_id,waste_amount_base,distance_km,transport_mode,match_id
W-01,P-01,1,P-100,7,0,0.4702,truck,0
W-01,P-01,1,P-101,7,0,0.4702,truck,1
W-01,P-01,1,P-102,7,0,0.4702,truck,2
W-01,P-01,1,P-105,7,0,0.4702,truck,3
W-01,P-01,1,P-106,8,0,2.1762,truck,4
W-01,P-01,1,P-107,8,0,2.1762,truck,5
W-01,P-01,1,P-108,8,0,2.1762,truck,6
W-01,P-01,1,P-109,8,0,2.1762,truck,7
W-01,P-01,1,P-110,8,0,2.1762,truck,8
W-01,P-01,1,P-111,8,0,2.1762,truck,9
W-01,P-01,1,P-112,8,0,2.1762,truck,10
W-01,P-01,1,P-113,8,0,2.1762,truck,11
W-01,P-01,1,P-114,8,0,2.1762,truck,12
W-01,P-01,1,P-116,8,0,2.1762,truck,13
W-01,P-01,1,P-117,8,0,2.1762,truck,14
W-01,P-01,1,P-121,9,0,1.1282,truck,15
W-01,P-01,1,P-122,9,0,1.1282,truck,16
W-01,P-01,1,P-123,9,0,1.1282,truck,17
W-01,P-01,1,P-124,9,0,1.1282,truck,18
W-01,P-01,1,P-125,9,0,1.1282,truck,19
W-01,P-01,1,P-126,9,0,1.1282,truck,20
W-01,P-01,1,P-127,9,0,1.1282,truck,21
W-01,P-01,1,P-128,9,0,1.1282,truck,22
W-01,P-01,1,P-129,9,0,1.1282,truck,23
W-01,P-01,1,P-130,9,0,1.1282,truck,24
W-01,P-01,1,P-131,9,0,1.1282,truck,25
W-01,P-01,1,P-132,9,0,1.1282,truck,26
W-01,P-01,1,P-133,9,0,1.1282,truck,27
W-01,P-01,1,P-136,10,0,0.4877,truck,28
W-01,P-01,1,P-137,10,0,0.4877,truck,29
W-01,P-01,1,P-138,10,0,0.4877,truck,30
W-01,P-01,1,P-139,10,0,0.4877,truck,31
W-01,P-01,1,P-140,10,0,0.4877,truck,32
W-01,P-01,1,P-141,10,0,0.4877,truck,33
W-01,P-01,1,P-142,10,0,0.4877,truck,34
W-01,P-01,1,P-143,10,0,0.4877,truck,35
W-01,P-01,1,P-145,10,0,0.4877,truck,36
W-01,P-01,1,P-146,10,0,0.4877,truck,37
W-01,P-01,1,P-147,10,0,0.4877,truck,38
W-01,P-01,1,P-148,10,0,0.4877,truck,39
W-01,P-01,1,P-150,10,0,0.4877,truck,40
W-01,P-01,1,P-16,2,0,0.6955,truck,41
W-01,P-01,1,P-17,2,0,0.6955,truck,42
W-01,P-01,1,P-18,2,0,0.6955,truck,43
W-01,P-01,1,P-19,2,0,0.6955,truck,44
W-01,P-01,1,P-20,2,0,0.6955,truck,45
W-01,P-01,1,P-21,2,0,0.6955,truck,46
W-01,P-01,1,P-22,2,0,0.6955,truck,47
W-01,P-01,1,P-23,2,0,0.6955,truck,48
W-01,P-01,1,P-24,2,0,0.6955,truck,49
W-01,P-01,1,P-25,2,0,0.6955,truck,50
W-01,P-01,1,P-26,2,0,0.6955,truck,51
W-01,P-01,1,P-27,2,0,0.6955,truck,52
W-01,P-01,1,P-28,2,0,0.6955,truck,53
W-01,P-01,1,P-30,2,0,0.6955,truck,54
W-01,P-01,1,P-31,3,0,1.418,truck,55
W-01,P-01,1,P-32,3,0,1.418,truck,56
W-01,P-01,1,P-33,3,0,1.418,truck,57
W-01,P-01,1,P-34,3,0,1.418,truck,58
W-01,P-01,1,P-35,3,0,1.418,truck,59
W-01,P-01,1,P-36,3,0,1.418,truck,60
W-01,P-01,1,P-37,3,0,1.418,truck,61
W-01,P-01,1,P-38,3,0,1.418,truck,62
W-01,P-01,1,P-39,3,0,1.418,truck,63
W-01,P-01,1,P-40,3,0,1.418,truck,64
W-01,P-01,1,P-41,3,0,1.418,truck,65
W-01,P-01,1,P-42,3,0,1.418,truck,66
W-01,P-01,1,P-43,3,0,1.418,truck,67
W-01,P-01,1,P-45,3,0,1.418,truck,68
W-01,P-01,1,P-46,4,0,0.8523,truck,69
W-01,P-01,1,P-47,4,0,0.8523,truck,70
W-01,P-01,1,P-48,4,0,0.8523,truck,71
W-01,P-01,1,P-49,4,0,0.8523,truck,72
W-01,P-01,1,P-50,4,0,0.8523,truck,73
W-01,P-01,1,P-51,4,0,0.8523,truck,74
W-01,P-01,1,P-52,4,0,0.8523,truck,75
W-01,P-01,1,P-53,4,0,0.8523,truck,76
W-01,P-01,1,P-54,4,0,0.8523,truck,77
W-01,P-01,1,P-55,4,0,0.8523,truck,78
W-01,P-01,1,P-56,4,0,0.8523,truck,79
W-01,P-01,1,P-57,4,0,0.8523,truck,80
W-01,P-01,1,P-61,5,0,1.7829,truck,81
W-01,P-01,1,P-62,5,0,1.7829,truck,82
W-01,P-01,1,P-63,5,0,1.7829,truck,83
W-01,P-01,1,P-64,5,0,1.7829,truck,84
W-01,P-01,1,P-65,5,0,1.7829,truck,85
W-01,P-01,1,P-66,5,0,1.7829,truck,86
W-01,P-01,1,P-67,5,0,1.7829,truck,87
W-01,P-01,1,P-68,5,0,1.7829,truck,88
W-01,P-01,1,P-69,5,0,1.7829,truck,89
W-01,P-01,1,P-70,5,0,1.7829,truck,90
W-01,P-01,1,P-71,5,0,1.7829,truck,91
W-01,P-01,1,P-72,5,0,1.7829,truck,92
W-01,P-01,1,P-73,5,0,1.7829,truck,93
W-01,P-01,1,P-76,6,0,0.7893,truck,94
W-01,P-01,1,P-77,6,0,0.7893,truck,95
W-01,P-01,1,P-78,6,0,0.7893,truck,96
W-01,P-01,1,P-79,6,0,0.7893,truck,97
W-01,P-01,1,P-80,6,0,0.7893,truck,98
W-01,P-01,1,P-81,6,0,0.7893,truck,99
W-01,P-01,1,P-82,6,0,0.7893,truck,100
W-01,P-01,1,P-83,6,0,0.7893,truck,101
W-01,P-01,1,P-84,6,0,0.7893,truck,102
W-01,P-01,1,P-85,6,0,0.7893,truck,103
W-01,P-01,1,P-86,6,0,0.7893,truck,104
W-01,P-01,1,P-87,6,0,0.7893,truck,105
W-01,P-01,1,P-88,6,0,0.7893,truck,106
W-01,P-01,1,P-91,7,0,0.4702,truck,107
W-01,P-01,1,P-92,7,0,0.4702,truck,108
W-01,P-01,1,P-93,7,0,0.4702,truck,109
W-01,P-01,1,P-94,7,0,0.4702,truck,110
W-01,P-01,1,P-95,7,0,0.4702,truck,111
W-01,P-01,1,P-96,7,0,0.4702,truck,112
W-01,P-01,1,P-97,7,0,0.4702,truck,113
W-01,P-01,1,P-98,7,0,0.4702,truck,114
W-01,P-01,1,P-99,7,0,0.4702,truck,115
W-02,P-02,1,P-100,7,0,0.4702,tanker,116
W-02,P-02,1,P-101,7,0,0.4702,tanker,117
W-02,P-02,1,P-102,7,0,0.4702,tanker,118
W-02,P-02,1,P-105,7,0,0.4702,tanker,119
W-02,P-02,1,P-106,8,0,2.1762,tanker,120
W-02,P-02,1,P-107,8,0,2.1762,tanker,121
W-02,P-02,1,P-108,8,0,2.1762,tanker,122
W-02,P-02,1,P-109,8,0,2.1762,tanker,123
W-02,P-02,1,P-110,8,0,2.1762,tanker,124
W-02,P-02,1,P-111,8,0,2.1762,tanker,125
W-02,P-02,1,P-112,8,0,2.1762,tanker,126
W-02,P-02,1,P-113,8,0,2.1762,tanker,127
W-02,P-02,1,P-114,8,0,2.1762,tanker,128
W-02,P-02,1,P-116,8,0,2.1762,tanker,129
W-02,P-02,1,P-117,8,0,2.1762,tanker,130
W-02,P-02,1,P-121,9,0,1.1282,tanker,131
W-02,P-02,1,P-122,9,0,1.1282,tanker,132
W-02,P-02,1,P-123,9,0,1.1282,tanker,133
W-02,P-02,1,P-124,9,0,1.1282,tanker,134
W-02,P-02,1,P-125,9,0,1.1282,tanker,135
W-02,P-02,1,P-126,9,0,1.1282,tanker,136
W-02,P-02,1,P-127,9,0,1.1282,tanker,137
W-02,P-02,1,P-128,9,0,1.1282,tanker,138
W-02,P-02,1,P-129,9,0,1.1282,tanker,139
W-02,P-02,1,P-130,9,0,1.1282,tanker,140
W-02,P-02,1,P-131,9,0,1.1282,tanker,141
W-02,P-02,1,P-132,9,0,1.1282,tanker,142
W-02,P-02,1,P-133,9,0,1.1282,tanker,143
W-02,P-02,1,P-136,10,0,0.4877,tanker,144
W-02,P-02,1,P-137,10,0,0.4877,tanker,145
W-02,P-02,1,P-138,10,0,0.4877,tanker,146
W-02,P-02,1,P-139,10,0,0.4877,tanker,147
W-02,P-02,1,P-140,10,0,0.4877,tanker,148
W-02,P-02,1,P-141,10,0,0.4877,tanker,149
W-02,P-02,1,P-142,10,0,0.4877,tanker,150
W-02,P-02,1,P-143,10,0,0.4877,tanker,151
W-02,P-02,1,P-145,10,0,0.4877,tanker,152
W-02,P-02,1,P-146,10,0,0.4877,tanker,153
W-02,P-02,1,P-147,10,0,0.4877,tanker,154
W-02,P-02,1,P-148,10,0,0.4877,tanker,155
W-02,P-02,1,P-150,10,0,0.4877,tanker,156
W-02,P-02,1,P-16,2,0,0.6955,tanker,157
W-02,P-02,1,P-17,2,0,0.6955,tanker,158
W-02,P-02,1,P-18,2,0,0.6955,tanker,159
W-02,P-02,1,P-19,2,0,0.6955,tanker,160
W-02,P-02,1,P-20,2,0,0.6955,tanker,161
W-02,P-02,1,P-21,2,0,0.6955,tanker,162
W-02,P-02,1,P-22,2,0,0.6955,tanker,163
W-02,P-02,1,P-23,2,0,0.6955,tanker,164
W-02,P-02,1,P-24,2,0,0.6955,tanker,165
W-02,P-02,1,P-25,2,0,0.6955,tanker,166
W-02,P-02,1,P-26,2,0,0.6955,tanker,167
W-02,P-02,1,P-27,2,0,0.6955,tanker,168
W-02,P-02,1,P-28,2,0,0.6955,tanker,169
W-02,P-02,1,P-30,2,0,0.6955,tanker,170
W-02,P-02,1,P-31,3,0,1.418,tanker,171
W-02,P-02,1,P-32,3,0,1.418,tanker,172
W-02,P-02,1,P-33,3,0,1.418,tanker,173
W-02,P-02,1,P-34,3,0,1.418,tanker,174
W-02,P-02,1,P-35,3,0,1.418,tanker,175
W-02,P-02,1,P-36,3,0,1.418,tanker,176
W-02,P-02,1,P-37,3,0,1.418,tanker,177
W-02,P-02,1,P-38,3,0,1.418,tanker,178
W-02,P-02,1,P-39,3,0,1.418,tanker,179
W-02,P-02,1,P-40,3,0,1.418,tanker,180
W-02,P-02,1,P-41,3,0,1.418,tanker,181
W-02,P-02,1,P-42,3,0,1.418,tanker,182
W-02,P-02,1,P-43,3,0,1.418,tanker,183
W-02,P-02,1,P-45,3,0,1.418,tanker,184
W-02,P-02,1,P-46,4,0,0.8523,tanker,185
W-02,P-02,1,P-47,4,0,0.8523,tanker,186
W-02,P-02,1,P-48,4,0,0.8523,tanker,187
W-02,P-02,1,P-49,4,0,0.8523,tanker,188
W-02,P-02,1,P-50,4,0,0.8523,tanker,189
W-02,P-02,1,P-51,4,0,0.8523,tanker,190
W-02,P-02,1,P-52,4,0,0.8523,tanker,191
W-02,P-02,1,P-53,4,0,0.8523,tanker,192
W-02,P-02,1,P-54,4,0,0.8523,tanker,193
W-02,P-02,1,P-55,4,0,0.8523,tanker,194
W-02,P-02,1,P-56,4,0,0.8523,tanker,195
W-02,P-02,1,P-57,4,0,0.8523,tanker,196
W-02,P-02,1,P-61,5,0,1.7829,tanker,197
W-02,P-02,1,P-62,5,0,1.7829,tanker,198
W-02,P-02,1,P-63,5,0,1.7829,tanker,199
W-02,P-02,1,P-64,5,0,1.7829,tanker,200
W-02,P-02,1,P-65,5,0,1.7829,tanker,201
W-02,P-02,1,P-66,5,0,1.7829,tanker,202
W-02,P-02,1,P-67,5,0,1.7829,tanker,203
W-02,P-02,1,P-68,5,0,1.7829,tanker,204
W-02,P-02,1,P-69,5,0,1.7829,tanker,205
W-02,P-02,1,P-70,5,0,1.7829,tanker,206
W-02,P-02,1,P-71,5,0,1.7829,tanker,207
W-02,P-02,1,P-72,5,0,1.7829,tanker,208
W-02,P-02,1,P-73,5,0,1.7829,tanker,209
W-02,P-02,1,P-76,6,0,0.7893,tanker,210
W-02,P-02,1,P-77,6,0,0.7893,tanker,211
W-02,P-02,1,P-78,6,0,0.7893,tanker,212
W-02,P-02,1,P-79,6,0,0.7893,tanker,213
W-02,P-02,1,P-80,6,0,0.7893,tanker,214
W-02,P-02,1,P-81,6,0,0.7893,tanker,215
W-02,P-02,1,P-82,6,0,0.7893,tanker,216
W-02,P-02,1,P-83,6,0,0.7893,tanker,217
W-02,P-02,1,P-84,6,0,0.7893,tanker,218
W-02,P-02,1,P-85,6,0,0.7893,tanker,219
W-02,P-02,1,P-86,6,0,0.7893,tanker,220
W-02,P-02,1,P-87,6,0,0.7893,tanker,221
W-02,P-02,1,P-88,6,0,0.7893,tanker,222
W-02,P-02,1,P-91,7,0,0.4702,tanker,223
W-02,P-02,1,P-92,7,0,0.4702,tanker,224
W-02,P-02,1,P-93,7,0,0.4702,tanker,225
W-02,P-02,1,P-94,7,0,0.4702,tanker,226
W-02,P-02,1,P-95,7,0,0.4702,tanker,227
W-02,P-02,1,P-96,7,0,0.4702,tanker,228
W-02,P-02,1,P-97,7,0,0.4702,tanker,229
W-02,P-02,1,P-98,7,0,0.4702,tanker,230
W-02,P-02,1,P-99,7,0,0.4702,tanker,231
W-03,P-04,1,P-100,7,0,0.4702,truck,232
W-03,P-04,1,P-101,7,0,0.4702,truck,233
W-03,P-04,1,P-102,7,0,0.4702,truck,234
W-03,P-04,1,P-105,7,0,0.4702,truck,235
W-03,P-04,1,P-106,8,0,2.1762,truck,236
W-03,P-04,1,P-107,8,0,2.1762,truck,237
W-03,P-04,1,P-108,8,0,2.1762,truck,238
W-03,P-04,1,P-109,8,0,2.1762,truck,239
W-03,P-04,1,P-110,8,0,2.1762,truck,240
W-03,P-04,1,P-111,8,0,2.1762,truck,241
W-03,P-04,1,P-112,8,0,2.1762,truck,242
W-03,P-04,1,P-113,8,0,2.1762,truck,243
W-03,P-04,1,P-114,8,0,2.1762,truck,244
W-03,P-04,1,P-116,8,0,2.1762,truck,245
W-03,P-04,1,P-117,8,0,2.1762,truck,246
W-03,P-04,1,P-121,9,0,1.1282,truck,247
W-03,P-04,1,P-122,9,0,1.1282,truck,248
W-03,P-04,1,P-123,9,0,1.1282,truck,249
W-03,P-04,1,P-124,9,0,1.1282,truck,250
W-03,P-04,1,P-125,9,0,1.1282,truck,251
W-03,P-04,1,P-126,9,0,1.1282,truck,252
W-03,P-04,1,P-127,9,0,1.1282,truck,253
W-03,P-04,1,P-128,9,0,1.1282,truck,254
W-03,P-04,1,P-129,9,0,1.1282,truck,255
W-03,P-04,1,P-130,9,0,1.1282,truck,256
W-03,P-04,1,P-131,9,0,1.1282,truck,257
W-03,P-04,1,P-132,9,0,1.1282,truck,258
W-03,P-04,1,P-133,9,0,1.1282,truck,259
W-03,P-04,1,P-136,10,0,0.4877,truck,260
W-03,P-04,1,P-137,10,0,0.4877,truck,261
W-03,P-04,1,P-138,10,0,0.4877,truck,262
W-03,P-04,1,P-139,10,0,0.4877,truck,263
W-03,P-04,1,P-140,10,0,0.4877,truck,264
W-03,P-04,1,P-141,10,0,0.4877,truck,265
W-03,P-04,1,P-142,10,0,0.4877,truck,266
W-03,P-04,1,P-143,10,0,0.4877,truck,267
W-03,P-04,1,P-145,10,0,0.4877,truck,268
W-03,P-04,1,P-146,10,0,0.4877,truck,269
W-03,P-04,1,P-147,10,0,0.4877,truck,270
W-03,P-04,1,P-148,10,0,0.4877,truck,271
W-03,P-04,1,P-150,10,0,0.4877,truck,272
W-03,P-04,1,P-16,2,0,0.6955,truck,273
W-03,P-04,1,P-17,2,0,0.6955,truck,274
W-03,P-04,1,P-18,2,0,0.6955,truck,275
W-03,P-04,1,P-19,2,0,0.6955,truck,276
W-03,P-04,1,P-20,2,0,0.6955,truck,277
W-03,P-04,1,P-21,2,0,0.6955,truck,278
W-03,P-04,1,P-22,2,0,0.6955,truck,279
W-03,P-04,1,P-23,2,0,0.6955,truck,280
W-03,P-04,1,P-24,2,0,0.6955,truck,281
W-03,P-04,1,P-25,2,0,0.6955,truck,282
W-03,P-04,1,P-26,2,0,0.6955,truck,283
W-03,P-04,1,P-27,2,0,0.6955,truck,284
W-03,P-04,1,P-28,2,0,0.6955,truck,285
W-03,P-04,1,P-30,2,0,0.6955,truck,286
W-03,P-04,1,P-31,3,0,1.418,truck,287
W-03,P-04,1,P-32,3,0,1.418,truck,288
W-03,P-04,1,P-33,3,0,1.418,truck,289
W-03,P-04,1,P-34,3,0,1.418,truck,290
W-03,P-04,1,P-35,3,0,1.418,truck,291
W-03,P-04,1,P-36,3,0,1.418,truck,292
W-03,P-04,1,P-37,3,0,1.418,truck,293
W-03,P-04,1,P-38,3,0,1.418,truck,294
W-03,P-04,1,P-39,3,0,1.418,truck,295
W-03,P-04,1,P-40,3,0,1.418,truck,296
W-03,P-04,1,P-41,3,0,1.418,truck,297
W-03,P-04,1,P-42,3,0,1.418,truck,298
W-03,P-04,1,P-43,3,0,1.418,truck,299
W-03,P-04,1,P-45,3,0,1.418,truck,300
W-03,P-04,1,P-46,4,0,0.8523,truck,301
W-03,P-04,1,P-47,4,0,0.8523,truck,302
W-03,P-04,1,P-48,4,0,0.8523,truck,303
W-03,P-04,1,P-49,4,0,0.8523,truck,304
W-03,P-04,1,P-50,4,0,0.8523,truck,305
W-03,P-04,1,P-51,4,0,0.8523,truck,306
W-03,P-04,1,P-52,4,0,0.8523,truck,307
W-03,P-04,1,P-53,4,0,0.8523,truck,308
W-03,P-04,1,P-54,4,0,0.8523,truck,309
W-03,P-04,1,P-55,4,0,0.8523,truck,310
W-03,P-04,1,P-56,4,0,0.8523,truck,311
W-03,P-04,1,P-57,4,0,0.8523,truck,312
W-03,P-04,1,P-61,5,0,1.7829,truck,313
W-03,P-04,1,P-62,5,0,1.7829,truck,314
W-03,P-04,1,P-63,5,0,1.7829,truck,315
W-03,P-04,1,P-64,5,0,1.7829,truck,316
W-03,P-04,1,P-65,5,0,1.7829,truck,317
W-03,P-04,1,P-66,5,0,1.7829,truck,318
W-03,P-04,1,P-67,5,0,1.7829,truck,319
W-03,P-04,1,P-68,5,0,1.7829,truck,320
W-03,P-04,1,P-69,5,0,1.7829,truck,321
W-03,P-04,1,P-70,5,0,1.7829,truck,322
W-03,P-04,1,P-71,5,0,1.7829,truck,323
W-03,P-04,1,P-72,5,0,1.7829,truck,324
W-03,P-04,1,P-73,5,0,1.7829,truck,325
W-03,P-04,1,P-76,6,0,0.7893,truck,326
W-03,P-04,1,P-77,6,0,0.7893,truck,327
W-03,P-04,1,P-78,6,0,0.7893,truck,328
W-03,P-04,1,P-79,6,0,0.7893,truck,329
W-03,P-04,1,P-80,6,0,0.7893,truck,330
W-03,P-04,1,P-81,6,0,0.7893,truck,331
W-03,P-04,1,P-82,6,0,0.7893,truck,332
W-03,P-04,1,P-83,6,0,0.7893,truck,333
W-03,P-04,1,P-84,6,0,0.7893,truck,334
W-03,P-04,1,P-85,6,0,0.7893,truck,335
W-03,P-04,1,P-86,6,0,0.7893,truck,336
W-03,P-04,1,P-87,6,0,0.7893,truck,337
W-03,P-04,1,P-88,6,0,0.7893,truck,338
W-03,P-04,1,P-91,7,0,0.4702,truck,339
W-03,P-04,1,P-92,7,0,0.4702,truck,340
W-03,P-04,1,P-93,7,0,0.4702,truck,341
W-03,P-04,1,P-94,7,0,0.4702,truck,342
W-03,P-04,1,P-95,7,0,0.4702,truck,343
W-03,P-04,1,P-96,7,0,0.4702,truck,344
W-03,P-04,1,P-97,7,0,0.4702,truck,345
W-03,P-04,1,P-98,7,0,0.4702,truck,346
W-03,P-04,1,P-99,7,0,0.4702,truck,347
W-04,P-06,1,P-100,7,0,0.4702,truck,348
W-04,P-06,1,P-101,7,0,0.4702,truck,349
W-04,P-06,1,P-102,7,0,0.4702,truck,350
W-04,P-06,1,P-105,7,0,0.4702,truck,351
W-04,P-06,1,P-106,8,0,2.1762,truck,352
W-04,P-06,1,P-107,8,0,2.1762,truck,353
W-04,P-06,1,P-108,8,0,2.1762,truck,354
W-04,P-06,1,P-109,8,0,2.1762,truck,355
W-04,P-06,1,P-110,8,0,2.1762,truck,356
W-04,P-06,1,P-111,8,0,2.1762,truck,357
W-04,P-06,1,P-112,8,0,2.1762,truck,358
